,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
105,Video_games_sales106,Mario Kart 8,WiiU,Nintendo,2014-01-01,7.23,Racing,88.0,9.1,,,E,
106,Video_games_sales107,Need for Speed Underground,PS2,Electronic Arts,2003-01-01,7.2,Racing,85.0,8.6,,,E,
107,Video_games_sales108,Just Dance,Wii,Ubisoft,2009-01-01,7.2,Misc,49.0,8.0,,,E10+,
108,Video_games_sales109,Battlefield 3,PS3,Electronic Arts,2011-01-01,7.18,Shooter,85.0,7.5,,,M,
109,Video_games_sales110,Tekken 3,PS,Sony Computer Entertainment,1998-01-01,7.16,Fighting,96.0,9.1,,,T,
110,Video_games_sales111,The Legend of Zelda: Twilight Princess,Wii,Nintendo,2006-01-01,7.16,Action,95.0,9.0,,,T,
111,Video_games_sales112,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,1998-01-01,7.13,Platform,91.0,8.9,,,E,
112,Video_games_sales113,Super Smash Bros. Melee,GC,Nintendo,2001-01-01,7.07,Fighting,92.0,9.1,,,T,
113,Video_games_sales114,Mario Kart: Double Dash!!,GC,Nintendo,2003-01-01,6.95,Racing,,,,,,
114,Video_games_sales115,Need for Speed Underground 2,PS2,Electronic Arts,2004-01-01,6.9,Racing,82.0,8.6,,,E,
115,Video_games_sales116,Medal of Honor: Frontline,PS2,Electronic Arts,2002-01-01,6.83,Shooter,88.0,8.5,,,T,
116,Video_games_sales117,Crash Bandicoot,PS,Sony Computer Entertainment,1996-01-01,6.82,Platform,,,,,,
117,Video_games_sales118,Just Dance 4,Wii,Ubisoft,2012-01-01,6.76,Misc,74.0,7.2,,,E10+,
118,Video_games_sales119,Gears of War 2,X360,Microsoft Game Studios,2008-01-01,6.75,Shooter,93.0,7.7,,,M,
119,Video_games_sales120,Uncharted 3: Drakes Deception,PS3,Sony Computer Entertainment,2011-01-01,6.74,Action,92.0,8.3,,,T,
120,Video_games_sales121,Zumba Fitness,Wii,505 Games,2010-01-01,6.72,Sports,,,,,E,
121,Video_games_sales122,Call of Duty 4: Modern Warfare,PS3,Activision,2007-01-01,6.69,Shooter,94.0,8.4,,,M,
122,Video_games_sales123,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,2009-01-01,6.67,Action,96.0,8.8,,,T,
123,Video_games_sales124,FIFA 12,PS3,Electronic Arts,2011-01-01,6.65,Sports,,,,,,
124,Video_games_sales125,Big Brain Academy,DS,Nintendo,2005-01-01,6.63,Misc,74.0,7.4,,,E,
125,Video_games_sales126,The Legend of Zelda,NES,Nintendo,1986-01-01,6.51,Action,,,,,,
126,Video_games_sales127,Red Dead Redemption,PS3,Take-Two Interactive,2010-01-01,6.51,Action,95.0,8.9,,,M,
127,Video_games_sales128,FIFA 14,PS3,Electronic Arts,2013-01-01,6.48,Sports,86.0,4.3,,,E,
128,Video_games_sales129,Donkey Kong Country Returns,Wii,Nintendo,2010-01-01,6.47,Platform,87.0,8.6,,,E,
129,Video_games_sales130,Assassins Creed III,PS3,Ubisoft,2012-01-01,6.46,Action,85.0,6.9,,,M,
130,Video_games_sales131,Halo: Combat Evolved,X,Microsoft Game Studios,2001-01-01,6.43,Shooter,97.0,8.6,,,M,
131,Video_games_sales132,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,2011-01-01,6.42,Role-Playing,92.0,6.4,,,M,
132,Video_games_sales133,Pok\xc3\xa9mon Emerald Version,GBA,Nintendo,2004-01-01,6.41,Role-Playing,76.0,9.0,,,E,
133,Video_games_sales134,Kingdom Hearts,PS2,Sony Computer Entertainment,2002-01-01,6.4,Role-Playing,85.0,8.8,,,E,
134,Video_games_sales135,Pok\xc3\xa9mon Crystal Version,G,Nintendo,2000-01-01,6.39,Role-Playing,,,,,,
135,Video_games_sales136,Red Dead Redemption,X360,Take-Two Interactive,2010-01-01,6.35,Action,95.0,9.0,,,M,
136,Video_games_sales137,Halo 3: ODST,X360,Microsoft Game Studios,2009-01-01,6.34,Shooter,83.0,7.1,,,M,
137,Video_games_sales138,Super Mario Sunshine,GC,Nintendo,2002-01-01,6.31,Platform,92.0,8.6,,,E,
