id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
Windowgames_3276;Summoner;PC;THQ;2000-01-01;;Simulator,Strategy,Turn-based strategy (TBS),Tactical,Adventure,Indie;;;Volition;;;;summoner
Windowgames_3277;SunAge;PC;Lighthouse Interactive;2007-01-01;;Real Time Strategy (RTS),Strategy,Indie;;;Vertex4;;;;sunage
Windowgames_3278;Super Animal Royale;PC;Pixile Studios;2021-01-01;;Shooter,Adventure,Indie,Arcade;;;Pixile Studios;;;;super animal royale
Windowgames_3279;Super Bubble Pop;PC;Jaleco;2002-01-01;;Puzzle,Strategy;;;Zombie Studios;;;;super bubble pop
Windowgames_3280;Super Columbine Massacre RPG!;PC;;2005-01-01;;Role-playing (RPG);;;Danny Ledonne;;;;super columbine massacre rpg
Windowgames_3281;Super Cosplay War Ultra;PC;Team FK;2004-01-01;;Fighting;;;Team FK;;;;super cosplay war ultra
Windowgames_3282;Super Luckys Tale;PC;Microsoft Studios;2017-01-01;;Adventure;;;Playful;;;;super luckys tale
Windowgames_3283;Super Meat Boy;PC;Team Meat;2010-01-01;;Platform,Adventure,Indie;;;Team Meat;;;;super meat boy
Windowgames_3284;Super Puzzle Bobble;PC;Acclaim Entertainment,Taito Corporation;2000-01-01;;Puzzle;;;Taito;;;;super puzzle bobble
Windowgames_3285;Super Puzzle Fighter II Turbo;PC;Capcom;2007-01-01;;Fighting,Puzzle,Strategy;;;Capcom;;;;super puzzle fighter ii turbo
Windowgames_3286;Supercar Street Challenge;PC;Activision;2001-01-01;;Racing;;;Exakt Entertainment;;;;supercar street challenge
Windowgames_3287;SuperPower 2;PC;DreamCatcher Interactive;2004-01-01;;Simulator,Strategy;;;GolemLabs;;;;superpower 2
Windowgames_3288;Superstars V8 Racing;PC;Black Bean Games;2009-01-01;;Racing;;;Milestone srl;;;;superstars v8 racing
Windowgames_3289;Supreme Commander;PC;THQ;2007-01-01;;Real Time Strategy (RTS),Strategy;;;Gas Powered Games;;;;supreme commander
Windowgames_3290;Supreme Commander 2;PC;Square Enix;2010-01-01;;Real Time Strategy (RTS),Strategy;;;Gas Powered Games;;;;supreme commander 2
Windowgames_3291;Supreme Commander: Forged Alliance;PC;THQ;2007-01-01;;Real Time Strategy (RTS),Strategy;;;Gas Powered Games;;;;supreme commander forged alliance
Windowgames_3292;Supreme Ruler 2010;PC;Strategy First;2005-01-01;;Simulator,Strategy;;;BattleGoat Studios;;;;supreme ruler 2010
Windowgames_3293;Supreme Ruler 2020;PC;Paradox Interactive;2008-01-01;;Real Time Strategy (RTS),Strategy;;;BattleGoat Studios;;;;supreme ruler 2020
