id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_62682;Syrup and the Ultimate Sweet; PC;;2015-01-01;;;;;;;Teen;
wikidata_id_62684;Exiled Kingdoms; PC;;2018-02-23;;;;;;;;
wikidata_id_62686;Minecraft; Xbox One;;2011-11-18;;;;;;;Everyone 10+;Minecraft
wikidata_id_62689;Q108753547; PC;;2017-06-09;;;;;;;;
wikidata_id_62692;Treasure Hunter Man 2; PC;;2015-10-24;;;;;;;Everyone 10+;
wikidata_id_62693;Clannad Side Stories; PC;;2010-06-03;;;;;;;Teen;
wikidata_id_62695;Muv-Luv; PlayStation Vita;;2016-07-14;;;;;;;Mature 17+;
wikidata_id_62697;Deadpool; Xbox 360;;2013-06-25;;;;;;;Mature 17+;
wikidata_id_62698;Nightmares from the Deep 3: Davy Jones; PC;;2014-03-27;;;;;;;Teen;
wikidata_id_62699;Dynasty Warriors: Gundam 3; PlayStation 3;;2010-12-16;;;;;;;;Dynasty Warriors
wikidata_id_62702;Just Dance 3; Xbox 360;;2011-10-07;;;;;;;Everyone 10+;Just Dance
wikidata_id_62706;Under Night In-Birth; PC;;2016-07-12;;;;;;;;
wikidata_id_62707;Tales of the Heroes: Twin Brave; PSP;;2012-02-23;;;;;;;;Tales
wikidata_id_62709;IxSHE Tell; PlayStation 4;;2018-01-01;;;;;;;;
wikidata_id_62711;Motion Explosion!; Xbox 360;;2012-01-01;;;;;;;Everyone;
wikidata_id_62712;Battle Worlds: Kronos; Switch;;2013-11-04;;;;;;;Everyone 10+;
wikidata_id_62713;PDC World Championship Darts Pro Tour; PlayStation 3;;2010-11-26;;;;;;;;
wikidata_id_62715;Phantasy Star Online 2; PlayStation Vita;;2012-07-04;;;;;;;Mature 17+;Phantasy Star Online
wikidata_id_62720;LEWDNESS ～Vita sexualis～; PC;;2012-06-22;;;;;;;;
wikidata_id_62721;The Surge 2; Xbox One;;2019-01-01;;;;;;;Mature 17+;
wikidata_id_62724;Harem Tengoku da to Omottara Yandere Jigoku Datta; PlayStation 3;;2014-01-01;;;;;;;;
wikidata_id_62725;Go! Go! Nippon! ~My First Trip to Japan~; PC;;2011-01-01;;;;;;;Everyone;
wikidata_id_62730;Chaos Code; PlayStation 3;;2011-08-04;;;;;;;Teen;
wikidata_id_62731;Rock Band Blitz; PlayStation 3;;2012-08-28;;;;;;;Teen;Rock Band
wikidata_id_62732;Cibele; PC;;2015-11-02;;;;;;;;
wikidata_id_62733;Caveman Warriors; PC;;2017-09-22;;;;;;;Everyone 10+;
wikidata_id_62734;Giga Wrecker; Switch;;2017-02-06;;;;;;;;
wikidata_id_62738;Onigiri; Switch;;2013-01-01;;;;;;;Mature 17+;
wikidata_id_62739;Scions of Fate; PC;;2018-01-29;;;;;;;;
wikidata_id_62745;STAB STAB STAB!; Switch;;2019-04-02;;;;;;;;
wikidata_id_62746;Need for Speed Rivals; PC;;2013-11-15;;;;;;;Everyone 10+;Need for Speed
wikidata_id_62747;Tom Clancy's Splinter Cell: Conviction; PC;;2010-04-13;;;;;;;Mature 17+;Tom Clancy's Splinter Cell
wikidata_id_62748;Talisman: Digital Edition; Switch;;2014-02-25;;;;;;;Everyone 10+;
wikidata_id_62749;Polaris Sector; PC;;2016-03-22;;;;;;;;
wikidata_id_62751;Auto Club Revolution; PC;;2013-04-01;;;;;;;;
wikidata_id_62752;Stairs; PC;;2015-09-28;;;;;;;;
wikidata_id_62753;Ironcast; PlayStation 4;;2015-03-26;;;;;;;Everyone 10+;
wikidata_id_62754;Euro Fishing; PC;;2015-11-02;;;;;;;Everyone;
wikidata_id_62758;The Deed: Dynasty; PC;;2016-05-10;;;;;;;;
wikidata_id_62759;Murderous Pursuits; PC;;2018-04-26;;;;;;;;
wikidata_id_62760;Ride 3; PC;;2018-11-30;;;;;;;Everyone;Ride
wikidata_id_62762;Nanairo Reincarnation; PC;;2019-09-27;;;;;;;;
wikidata_id_62764;Styx: Shards of Darkness; PC;;2017-01-01;;;;;;;Mature 17+;
wikidata_id_62766;Mad Blocker Alpha; PlayStation 3;;2011-04-19;;;;;;;;
wikidata_id_62769;Prison Break: The Conspiracy; PlayStation 3;;2010-03-26;;;;;;;;
wikidata_id_62770;Lego Ninjago: Shadow of Ronin; PlayStation Vita;;2015-01-01;;;;;;;Everyone 10+;
wikidata_id_62772;Borderlands 2; PlayStation 4;;2012-09-18;;;;;;;Mature 17+;Borderlands
wikidata_id_62773;OKAMI HD; PlayStation 4;;2012-10-30;;;;;;;Teen;
wikidata_id_62775;Syndicate; Xbox 360;;2012-02-21;;;;;;;Mature 17+;Syndicate
wikidata_id_62776;A Short Hike; Xbox One;;2019-07-30;;;;;;;Everyone;
wikidata_id_62778;Reus; PC;;2013-05-16;;;;;;;Everyone 10+;
wikidata_id_62779;Super Mario Maker; Wii U;;2015-09-10;;;;;;;Everyone;Super Mario
wikidata_id_62783;Double Cross; Switch;;2019-01-01;;;;;;;;
wikidata_id_62784;Gemini: Heroes Reborn; PC;;2016-01-18;;;;;;;Teen;
wikidata_id_62786;Kids of Hellas: Back to Olympus; PC;;2019-02-22;;;;;;;;
wikidata_id_62788;Uncharted: The Lost Legacy; PlayStation 4;;2017-01-01;;;;;;;Teen;Uncharted
wikidata_id_62790;'n Verlore Verstand; PC;;2016-04-05;;;;;;;Everyone;
wikidata_id_62793;Dragon Star Varnir; Switch;;2018-01-01;;;;;;;Teen;
