id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
PS4_id_5887;Final Assault;PlayStation 4;Phaser Lock Interactive;2020-03-31;;Strategy,Real Time;;;Phaser Lock Interactive;;;;final assault
PS4_id_5888;Final Fantasy Crystal Chronicles Remastered Edition;PlayStation 4;Square Enix;2020-08-27;;Action-RPG,Role Playing;;;Square Enix;;;;final fantasy crystal chronicles remastered edition
PS4_id_5889;Final Fantasy IX;PlayStation 4;Square Enix;2017-09-19;;Role Playing,Turn Based;;;Square Enix;;;;final fantasy ix
PS4_id_5890;Final Fantasy Type-0 HD;PlayStation 4;Square Enix;2015-03-17;;Action-RPG,Role Playing;;;Square Enix;;;;final fantasy type0 hd
PS4_id_5891;Final Fantasy VII;PlayStation 4;Square Enix;2015-12-05;;Role Playing,Turn Based;;;Square Enix;;;;final fantasy vii
PS4_id_5892;Final Fantasy VII Remake (PS4);PlayStation 4;Square Enix;2020-04-10;;Action-RPG,Role Playing;;;Square Enix;;;;final fantasy vii remake ps4
PS4_id_5893;Final Fantasy VIII Remastered;PlayStation 4;Square Enix;2019-09-03;;Role Playing,Turn Based;;;Square Enix;;;;final fantasy viii remastered
PS4_id_5894;Final Fantasy X HD Remaster;PlayStation 4;Square Enix;2014-03-18;;Role Playing,Turn Based;;;Square Enix;;;;final fantasy x hd remaster
PS4_id_5895;Final Fantasy X-2 HD Remaster;PlayStation 4;Square Enix;2014-03-21;;Role Playing;;;Square Enix;;;;final fantasy x2 hd remaster
PS4_id_5896;Final Fantasy XII: The Zodiac Age;PlayStation 4;Square Enix;2017-07-11;;Role Playing;;;Square Enix;;;;final fantasy xii the zodiac age
PS4_id_5897;Final Fantasy XIV: A Realm Reborn (PS4);PlayStation 4;Square Enix;2013-08-27;;Action-RPG,Role Playing,MMO,Dungeon Crawler;;;Square Enix;;;;final fantasy xiv a realm reborn ps4
PS4_id_5898;Final Fantasy XV;PlayStation 4;Square Enix;2016-11-29;;Open World,Action-RPG,Role Playing;;;Square Enix;;;;final fantasy xv
PS4_id_5899;Final Fantasy XV (Asia);PlayStation 4;Square Enix;2016-11-29;;Open World,Action-RPG,Role Playing;;;Square Enix;;;;final fantasy xv asia
PS4_id_5900;Final Fantasy XV (CN);PlayStation 4;Shanghai Oriental Pearl Culture Development;2016-11-29;;Open World,Action-RPG,Role Playing;;;Square Enix;;;;final fantasy xv cn
PS4_id_5901;Final Fantasy XV (EU);PlayStation 4;Square Enix;2016-11-29;;Open World,Action-RPG,Role Playing;;;Square Enix;;;;final fantasy xv eu
PS4_id_5902;Final Fantasy XV (JP);PlayStation 4;Square Enix;2016-11-29;;Open World,Action-RPG,Role Playing;;;Square Enix;;;;final fantasy xv jp
