id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_35286;Cabela's African Safari;X360;;2006-12-05;;;;;;;Teen;
wikidata_id_35288;Q3775083;PC;;2001-01-01;;;;;;;;
wikidata_id_35290;Colin McRae: Dirt;PC;;2007-06-15;;;;;;;Everyone;Colin McRae Rally
wikidata_id_35292;Ecco the Dolphin: Defender of the Future;PS2;;2000-06-16;;;;;;;;Ecco the Dolphin
wikidata_id_35293;Afro Samurai;PS3;;2009-01-27;;;;;;;Mature 17+;
wikidata_id_35294;The Sniper;PS;;2001-01-01;;;;;;;;Simple
wikidata_id_35297;Over the Hedge;DS;;2006-05-05;;;;;;;;
wikidata_id_35298;Crash 'N' Burn;X;;2004-11-15;;;;;;;;
wikidata_id_35299;Xtreme Sports;DC;;2000-10-27;;;;;;;;
wikidata_id_35300;Wings;PC;;2002-10-18;;;;;;;;
wikidata_id_35301;Angels Online;PS4;;2008-09-25;;;;;;;;
wikidata_id_35302;One Piece: Grand Battle!;PS2;;2005-03-17;;;;;;;;One Piece: Grand Battle
wikidata_id_35303;Micro Maniacs;PS;;2000-10-05;;;;;;;;Micro Machines
wikidata_id_35304;ConQuest Online;PC;;2000-06-20;;;;;;;;
wikidata_id_35305;Nancy Drew: The Haunted Carousel;PC;;2003-08-22;;;;;;;;Nancy Drew
wikidata_id_35306;Dominion Wars;PC;;2001-06-11;;;;;;;;
wikidata_id_35307;Simple 1500 Jitsuyou Series Vol. 16: Neko no Kai-kata: Sekai no Neko Catalog;PS;;2002-01-01;;;;;;;;Simple 1500 Jitsuyou Series
wikidata_id_35308;Bomberman Land;PSP;;2007-03-21;;;;;;;;Bomberman
wikidata_id_35309;Freedom Fighters;PS2;;2003-09-26;;;;;;;Teen;
wikidata_id_35310;Stretch Panic;PS2;;2001-07-27;;;;;;;;
wikidata_id_35312;Wings;GBA;;2002-10-18;;;;;;;;
wikidata_id_35314;Enzai: Falsely Accused;PC;;2002-01-01;;;;;;;;
wikidata_id_35315;Simple 1500 Jitsuyou Series Vol. 15: Inu no Kai-kata: Sekai no Inu Catalog;PS;;2002-01-01;;;;;;;;Simple 1500 Jitsuyou Series
wikidata_id_35316;Ultimate Brain Games;GBA;;2003-03-18;;;;;;;;
wikidata_id_35319;Tremulous;PC;;2005-08-11;;;;;;;;
wikidata_id_35320;Gun;X360;;2005-11-05;;;;;;;Mature 17+;
wikidata_id_35321;RoboCop;GC;;2003-01-01;;;;;;;;
