"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity","[1] GameDateComparator3Years record1Value","[1] GameDateComparator3Years record2Value","[1] GameDateComparator3Years record1PreprocessedValue","[1] GameDateComparator3Years record2PreprocessedValue","[1] GameDateComparator3Years similarity","[1] GameDateComparator3Years postproccesedSimilarity"
"LinearCombinationMatchingRule","all_games1525","Windowgames_2604","0.13243243243243238",,"The Elder Scrolls IV: Shivering Isles","Pro Cycling Manager","The Elder Scrolls IV: Shivering Isles","Pro Cycling Manager","0.18918918918918914","0.18918918918918914","2007-03-26T00:00","2005-01-01T00:00","2007-03-26T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games11615","Windowgames_2772","0.11666666666666663",,"1nsane","Ring","1nsane","Ring","0.16666666666666663","0.16666666666666663","2001-02-05T00:00","1999-01-01T00:00","2001-02-05T00:00","1999-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games13117","Windowgames_992","0.4206896551724138",,"Real Myst","Dracula 2: The Last Sanctuary","Real Myst","Dracula 2: The Last Sanctuary","0.1724137931034483","0.1724137931034483","2000-11-14T00:00","2000-01-01T00:00","2000-11-14T00:00","2000-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games13117","Windowgames_991","0.1076923076923077",,"Real Myst","Dr. Brain: Action Reaction","Real Myst","Dr. Brain: Action Reaction","0.15384615384615385","0.15384615384615385","2000-11-14T00:00","1999-01-01T00:00","2000-11-14T00:00","1999-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games10872","Windowgames_3038","0.18529411764705878",,"TT Isle of Man: Ride On The Edge 2","SiN: Reloaded","TT Isle of Man: Ride On The Edge 2","SiN: Reloaded","0.2647058823529411","0.2647058823529411","2020-03-19T00:00","2021-01-01T00:00","2020-03-19T00:00","2021-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games17613","Windowgames_1545","0.13999999999999996",,"Novastrike","Hannah Montana: The Movie","Novastrike","Hannah Montana: The Movie","0.19999999999999996","0.19999999999999996","2008-06-05T00:00","2009-01-01T00:00","2008-06-05T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games17613","Windowgames_1547","0.3903225806451613",,"Novastrike","Happy Tree Friends: False Alarm","Novastrike","Happy Tree Friends: False Alarm","0.12903225806451613","0.12903225806451613","2008-06-05T00:00","2008-01-01T00:00","2008-06-05T00:00","2008-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games16088","Windowgames_3322","0.15555555555555553",,"Dawnspire: Prelude","Taito Legends","Dawnspire: Prelude","Taito Legends","0.2222222222222222","0.2222222222222222","2007-04-03T00:00","2005-01-01T00:00","2007-04-03T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games17613","Windowgames_1546","0.0",,"Novastrike","Happy Feet","Novastrike","Happy Feet","0.0","0.0","2008-06-05T00:00","2006-01-01T00:00","2008-06-05T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games16088","Windowgames_3323","0.37777777777777777",,"Dawnspire: Prelude","Taito Legends 2","Dawnspire: Prelude","Taito Legends 2","0.11111111111111116","0.11111111111111116","2007-04-03T00:00","2007-01-01T00:00","2007-04-03T00:00","2007-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games16088","Windowgames_3327","0.36363636363636365",,"Dawnspire: Prelude","A Tale of Two Kingdoms","Dawnspire: Prelude","A Tale of Two Kingdoms","0.09090909090909094","0.09090909090909094","2007-04-03T00:00","2007-01-01T00:00","2007-04-03T00:00","2007-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games1293","Windowgames_42","0.060869565217391335",,"Rise of the Tomb Raider","Adrift","Rise of the Tomb Raider","Adrift","0.08695652173913049","0.08695652173913049","2016-01-28T00:00","2015-01-01T00:00","2016-01-28T00:00","2015-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12362","Windowgames_2946","0.1076923076923077",,"Mobile Forces","Shark Tale","Mobile Forces","Shark Tale","0.15384615384615385","0.15384615384615385","2002-08-16T00:00","2004-01-01T00:00","2002-08-16T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games16088","Windowgames_3328","0.15217391304347822",,"Dawnspire: Prelude","Tales of Eternia Online","Dawnspire: Prelude","Tales of Eternia Online","0.21739130434782605","0.21739130434782605","2007-04-03T00:00","2006-01-01T00:00","2007-04-03T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games18412","Windowgames_77","0.15555555555555553",,"Chronus Arc","Age of Wonders III","Chronus Arc","Age of Wonders III","0.2222222222222222","0.2222222222222222","2015-10-01T00:00","2014-01-01T00:00","2015-10-01T00:00","2014-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games9582","Windowgames_2080","0.1448275862068965",,"Sherlock Holmes: The Awakened","Medieval II: Total War","Sherlock Holmes: The Awakened","Medieval II: Total War","0.2068965517241379","0.2068965517241379","2007-03-01T00:00","2006-01-01T00:00","2007-03-01T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games16088","Windowgames_3329","0.12727272727272723",,"Dawnspire: Prelude","Tales of Monkey Island","Dawnspire: Prelude","Tales of Monkey Island","0.18181818181818177","0.18181818181818177","2007-04-03T00:00","2009-01-01T00:00","2007-04-03T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games8672","Windowgames_1112","0.15217391304347822",,"Tiger Woods PGA Tour 07","Empire Earth II","Tiger Woods PGA Tour 07","Empire Earth II","0.21739130434782605","0.21739130434782605","2006-10-10T00:00","2005-01-01T00:00","2006-10-10T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games8672","Windowgames_1113","0.47027027027027024",,"Tiger Woods PGA Tour 07","Empire Earth II: The Art of Supremacy","Tiger Woods PGA Tour 07","Empire Earth II: The Art of Supremacy","0.2432432432432432","0.2432432432432432","2006-10-10T00:00","2006-01-01T00:00","2006-10-10T00:00","2006-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games8672","Windowgames_1114","0.1217391304347826",,"Tiger Woods PGA Tour 07","Empire Earth III","Tiger Woods PGA Tour 07","Empire Earth III","0.17391304347826086","0.17391304347826086","2006-10-10T00:00","2007-01-01T00:00","2006-10-10T00:00","2007-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1293","Windowgames_48","0.09130434782608697",,"Rise of the Tomb Raider","AdvertCity","Rise of the Tomb Raider","AdvertCity","0.13043478260869568","0.13043478260869568","2016-01-28T00:00","2015-01-01T00:00","2016-01-28T00:00","2015-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1293","Windowgames_47","0.15217391304347822",,"Rise of the Tomb Raider","Adventures of Pip","Rise of the Tomb Raider","Adventures of Pip","0.21739130434782605","0.21739130434782605","2016-01-28T00:00","2015-01-01T00:00","2016-01-28T00:00","2015-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games14164","Windowgames_3386","0.11914893617021277",,"Lemony Snicket's A Series of Unfortunate Events","Tiger Woods PGA Tour 07","Lemony Snicket's A Series of Unfortunate Events","Tiger Woods PGA Tour 07","0.17021276595744683","0.17021276595744683","2004-11-10T00:00","2006-01-01T00:00","2004-11-10T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12985","Windowgames_409","0.058333333333333355",,"Moto Racer 3","BreakQuest","Moto Racer 3","BreakQuest","0.08333333333333337","0.08333333333333337","2002-01-31T00:00","2004-01-01T00:00","2002-01-31T00:00","2004-01-01T00:00","0.0","0.0"
