"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","Video_games_sales13158","wikidata_id_31206","0.0",,"Back to the Future: The Game","The Legend of Zelda: Ocarina of Time","Back to the Future: The Game","The Legend of Zelda: Ocarina of Time","0.1","0.0"
"LinearCombinationMatchingRule","Video_games_sales3511","wikidata_id_74500","0.0",,"Phineas and Ferb: Across the 2nd Dimension","Transformers: Prime – The Game","Phineas and Ferb: Across the 2nd Dimension","Transformers: Prime – The Game","0.09090909090909091","0.0"
"LinearCombinationMatchingRule","Video_games_sales13158","wikidata_id_31205","0.0",,"Back to the Future: The Game","MLB Power Pros 2008","Back to the Future: The Game","MLB Power Pros 2008","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2672","wikidata_id_31141","0.0",,"ABBA: You Can Dance","LIT","ABBA: You Can Dance","LIT","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3104","wikidata_id_33928","0.0",,"The Last Story","Samba de Amigo","The Last Story","Samba de Amigo","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3764","wikidata_id_30703","0.0",,"Summer Sports: Paradise Island","Jeep Thrills","Summer Sports: Paradise Island","Jeep Thrills","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6757","wikidata_id_59946","0.0",,"Barbie: Jet, Set & Style!","Hubert the Teddy Bear: Winter Games","Barbie: Jet, Set & Style!","Hubert the Teddy Bear: Winter Games","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales9277","wikidata_id_73033","0.0",,"Scene It? Bright Lights! Big Screen!","Monster High: Ghoul Spirit","Scene It? Bright Lights! Big Screen!","Monster High: Ghoul Spirit","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales16602","wikidata_id_41725","0.0",,"Aladdin Magic Racer","Pit Crew Panic!","Aladdin Magic Racer","Pit Crew Panic!","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales7861","wikidata_id_48756","0.0",,"Avatar: The Last Airbender - Into the Inferno","Wreck-It Ralph","Avatar: The Last Airbender - Into the Inferno","Wreck-It Ralph","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11796","wikidata_id_43656","0.0",,"Minna no Joushiki Ryoku TV","Pro Evolution Soccer 2008","Minna no Joushiki Ryoku TV","Pro Evolution Soccer 2008","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3167","wikidata_id_25115","0.0",,"New Play Control! Pikmin","Baroque","New Play Control! Pikmin","Baroque","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8001","wikidata_id_28139","0.0",,"Family Feud: 2012 Edition","Pinball Hall of Fame: The Williams Collection","Family Feud: 2012 Edition","Pinball Hall of Fame: The Williams Collection","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1535","wikidata_id_31407","0.0",,"High School Musical 3: Senior Year DANCE!","Wario Land: Shake It!","High School Musical 3: Senior Year DANCE!","Wario Land: Shake It!","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2533","wikidata_id_34891","0.0",,"The Price is Right","Tiger Woods PGA Tour 08","The Price is Right","Tiger Woods PGA Tour 08","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales14664","wikidata_id_61943","0.0",,"Who Wants to be a Millionaire: 1st Edition","Rock Band 3","Who Wants to be a Millionaire: 1st Edition","Rock Band 3","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8386","wikidata_id_39399","0.0",,"Luxor 3","Taiko no Tatsujin Wii","Luxor 3","Taiko no Tatsujin Wii","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales10859","wikidata_id_41732","0.0",,"Paws & Claws: Pet Vet","Super Swing Golf: Season 2","Paws & Claws: Pet Vet","Super Swing Golf: Season 2","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales13242","wikidata_id_27776","0.0",,"Kart Racer","Family Card Games","Kart Racer","Family Card Games","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales14981","wikidata_id_37528","0.0",,"Backyard NFL Football","Calvin Tucker's Redneck Jamboree","Backyard NFL Football","Calvin Tucker's Redneck Jamboree","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11899","wikidata_id_32893","0.0",,"Americas Next Top Model","Rayman Raving Rabbids","Americas Next Top Model","Rayman Raving Rabbids","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8981","wikidata_id_37599","0.0",,"Backyard Sports: Sandlot Sluggers","Alvin and the Chipmunks: The Squeakquel","Backyard Sports: Sandlot Sluggers","Alvin and the Chipmunks: The Squeakquel","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11899","wikidata_id_30474","0.0",,"Americas Next Top Model","Harry Potter and the Half-Blood Prince","Americas Next Top Model","Harry Potter and the Half-Blood Prince","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales1074","wikidata_id_66019","0.0",,"Game Party 3","AFL","Game Party 3","AFL","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11883","wikidata_id_38779","0.0",,"Rogue Trooper: Quartz Zone Massacre","Jawa: Mammoth to Himitsu no Ishi","Rogue Trooper: Quartz Zone Massacre","Jawa: Mammoth to Himitsu no Ishi","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales16155","wikidata_id_43682","0.0",,"Dance! Its Your Stage","The Chronicles of Narnia: Prince Caspian","Dance! Its Your Stage","The Chronicles of Narnia: Prince Caspian","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales5745","wikidata_id_36276","0.0",,"Birthday Party Bash","Super Mario RPG","Birthday Party Bash","Super Mario RPG","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales316","wikidata_id_60974","0.0",,"EA Sports Active","Call of Duty 4: Modern Warfare","EA Sports Active","Call of Duty 4: Modern Warfare","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales13351","wikidata_id_43741","0.0",,"Reader Rabbit 2nd Grade","The House of the Dead: Overkill","Reader Rabbit 2nd Grade","The House of the Dead: Overkill","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales9007","wikidata_id_40125","0.0",,"Baseball Blast!","Dance Dance Revolution Hottest Party 3","Baseball Blast!","Dance Dance Revolution Hottest Party 3","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4684","wikidata_id_50909","0.0",,"Zack & Wiki: Quest for Barbaros Treasure","Dance Sensation!","Zack & Wiki: Quest for Barbaros Treasure","Dance Sensation!","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales5610","wikidata_id_33619","0.0",,"Marvel: Ultimate Alliance 2","Sengoku Basara 2","Marvel: Ultimate Alliance 2","Sengoku Basara 2","0.16666666666666666","0.0"
"LinearCombinationMatchingRule","Video_games_sales14195","wikidata_id_36608","0.0",,"Sudoku Ball Detective","Meet the Robinsons","Sudoku Ball Detective","Meet the Robinsons","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8588","wikidata_id_23784","0.0",,"Family Game Night 4: The Game Show","Konami's Ping Pong","Family Game Night 4: The Game Show","Konami's Ping Pong","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4352","wikidata_id_33776","0.0",,"Scooby-Doo! and the Spooky Swamp","Rotohex","Scooby-Doo! and the Spooky Swamp","Rotohex","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales90","wikidata_id_5361","0.0",,"Mario & Sonic at the Olympic Games","Super Mario RPG","Mario & Sonic at the Olympic Games","Super Mario RPG","0.125","0.0"
"LinearCombinationMatchingRule","Video_games_sales10539","wikidata_id_40453","0.0",,"Momotarou Dentetsu 16","Marble Saga: Kororinpa","Momotarou Dentetsu 16","Marble Saga: Kororinpa","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales16157","wikidata_id_70423","0.0",,"I Love Horses: Riders Paradise","Phineas and Ferb: Across the 2nd Dimension (video game)","I Love Horses: Riders Paradise","Phineas and Ferb: Across the 2nd Dimension (video game)","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales7045","wikidata_id_57775","0.0",,"The Lord of the Rings: Aragorns Quest","We Sing UK Hits","The Lord of the Rings: Aragorns Quest","We Sing UK Hits","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8796","wikidata_id_61603","0.0",,"Bust-A-Move Bash!","Sonic & Sega All-Stars Racing","Bust-A-Move Bash!","Sonic & Sega All-Stars Racing","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8014","wikidata_id_67233","0.0",,"Disney's Meet the Robinsons","Just Dance Wii","Disney's Meet the Robinsons","Just Dance Wii","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales15800","wikidata_id_31563","0.0",,"Emergency Mayhem","Wii Sports","Emergency Mayhem","Wii Sports","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales11652","wikidata_id_43530","0.0",,"Penny Racers Party: Turbo-Q Speedway","Sam & Max Save the World","Penny Racers Party: Turbo-Q Speedway","Sam & Max Save the World","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8037","wikidata_id_53855","0.0",,"The Munchables","Paper Mario","The Munchables","Paper Mario","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8430","wikidata_id_36933","0.0",,"Jillian Michaels Fitness Ultimatum 2011","Bigfoot: Collision Course","Jillian Michaels Fitness Ultimatum 2011","Bigfoot: Collision Course","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2523","wikidata_id_29890","0.0",,"Harvest Moon: Tree of Tranquility","Let's Tap","Harvest Moon: Tree of Tranquility","Let's Tap","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3345","wikidata_id_37654","0.0",,"World of Zoo","Teenage Mutant Ninja Turtles: Smash-Up","World of Zoo","Teenage Mutant Ninja Turtles: Smash-Up","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8808","wikidata_id_54767","0.0",,"Dragons Lair Trilogy","We Dare","Dragons Lair Trilogy","We Dare","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales9013","wikidata_id_34189","0.0",,"Charm Girls Club: Pajama Party","Pirates vs. Ninjas Dodgeball","Charm Girls Club: Pajama Party","Pirates vs. Ninjas Dodgeball","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales12481","wikidata_id_37843","0.0",,"Octomania","CSI: Hard Evidence","Octomania","CSI: Hard Evidence","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales14807","wikidata_id_42842","0.0",,"Pacific Liberator","Emergency Mayhem","Pacific Liberator","Emergency Mayhem","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales14395","wikidata_id_54276","0.0",,"Jewel Master: Cradle of Rome","Taiko no Tatsujin Wii: Kettei-Ban","Jewel Master: Cradle of Rome","Taiko no Tatsujin Wii: Kettei-Ban","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales16829","wikidata_id_44475","0.0",,"Mini Desktop Racing","Star Fox 64","Mini Desktop Racing","Star Fox 64","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2343","wikidata_id_72329","0.0",,"Cars 2","SpongeBob SquarePants: Plankton's Robotic Revenge","Cars 2","SpongeBob SquarePants: Plankton's Robotic Revenge","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales3460","wikidata_id_12110","0.0",,"Top Spin 3","Super Star Wars: The Empire Strikes Back","Top Spin 3","Super Star Wars: The Empire Strikes Back","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales15496","wikidata_id_39022","0.0",,"World Championship Poker featuring Howard Lederer: All In","Metroid Prime: Trilogy","World Championship Poker featuring Howard Lederer: All In","Metroid Prime: Trilogy","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales5667","wikidata_id_36195","0.0",,"Wipeout 2","Little Tournament Over Yonder","Wipeout 2","Little Tournament Over Yonder","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales8581","wikidata_id_53061","0.0",,"Zoo Hospital","Disney Channel All Star Party","Zoo Hospital","Disney Channel All Star Party","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales17324","wikidata_id_35915","0.0",,"Maximum Racing: Rally Racer","NHL 2K10","Maximum Racing: Rally Racer","NHL 2K10","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2738","wikidata_id_35192","0.0",,"Harry Potter and the Half-Blood Prince","Fizzball","Harry Potter and the Half-Blood Prince","Fizzball","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales2033","wikidata_id_34374","0.0",,"Disney Universe","Monster Trux Extreme: Offroad Edition","Disney Universe","Monster Trux Extreme: Offroad Edition","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales10910","wikidata_id_71582","0.0",,"Code Lyoko: Quest for Infinity","Just Dance 2014","Code Lyoko: Quest for Infinity","Just Dance 2014","0.0","0.0"
