"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity","[1] GameDateComparator3Years record1Value","[1] GameDateComparator3Years record2Value","[1] GameDateComparator3Years record1PreprocessedValue","[1] GameDateComparator3Years record2PreprocessedValue","[1] GameDateComparator3Years similarity","[1] GameDateComparator3Years postproccesedSimilarity"
"LinearCombinationMatchingRule","Video_games_sales14125","PS4_id_8112","0.12500000000000003",,"Summon Night 6: Lost Borders","Viking Days","Summon Night 6: Lost Borders","Viking Days","0.1785714285714286","0.1785714285714286","2016-01-01T00:00","2018-08-28T00:00","2016-01-01T00:00","2018-08-28T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales105","PS4_id_2543","0.43999999999999995",,"Uncharted 4: A Thiefs End","One Piece: Burning Blood","Uncharted 4: A Thiefs End","One Piece: Burning Blood","0.19999999999999996","0.19999999999999996","2016-01-01T00:00","2016-05-31T00:00","2016-01-01T00:00","2016-05-31T00:00","1.0","1.0"
"LinearCombinationMatchingRule","Video_games_sales14125","PS4_id_8113","0.42500000000000004",,"Summon Night 6: Lost Borders","Viking Squad","Summon Night 6: Lost Borders","Viking Squad","0.1785714285714286","0.1785714285714286","2016-01-01T00:00","2016-10-05T00:00","2016-01-01T00:00","2016-10-05T00:00","1.0","1.0"
"LinearCombinationMatchingRule","Video_games_sales1628","PS4_id_570","0.06999999999999998",,"WWE 2K16","Everything","WWE 2K16","Everything","0.09999999999999998","0.09999999999999998","2015-01-01T00:00","2017-03-21T00:00","2015-01-01T00:00","2017-03-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6246","PS4_id_1787","0.07567567567567568",,"Sherlock Holmes: Crimes & Punishments","Titan Souls","Sherlock Holmes: Crimes & Punishments","Titan Souls","0.10810810810810811","0.10810810810810811","2014-01-01T00:00","2015-04-14T00:00","2014-01-01T00:00","2015-04-14T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6246","PS4_id_1788","0.03783783783783784",,"Sherlock Holmes: Crimes & Punishments","Titanfall 2","Sherlock Holmes: Crimes & Punishments","Titanfall 2","0.05405405405405406","0.05405405405405406","2014-01-01T00:00","2016-10-28T00:00","2014-01-01T00:00","2016-10-28T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4784","PS4_id_7683","0.06999999999999998",,"Dishonored","Chariso VR","Dishonored","Chariso VR","0.09999999999999998","0.09999999999999998","2015-01-01T00:00","2017-02-21T00:00","2015-01-01T00:00","2017-02-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6828","PS4_id_5849","0.12727272727272723",,"Skylanders Imaginators","Feral Fury","Skylanders Imaginators","Feral Fury","0.18181818181818177","0.18181818181818177","2016-01-01T00:00","2018-01-30T00:00","2016-01-01T00:00","2018-01-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6246","PS4_id_1783","0.3567567567567567",,"Sherlock Holmes: Crimes & Punishments","Titan Attacks!","Sherlock Holmes: Crimes & Punishments","Titan Attacks!","0.08108108108108103","0.08108108108108103","2014-01-01T00:00","2014-05-06T00:00","2014-01-01T00:00","2014-05-06T00:00","1.0","1.0"
"LinearCombinationMatchingRule","Video_games_sales6828","PS4_id_5848","0.39545454545454545",,"Skylanders Imaginators","Fenix Furia (JP)","Skylanders Imaginators","Fenix Furia (JP)","0.13636363636363635","0.13636363636363635","2016-01-01T00:00","2016-09-16T00:00","2016-01-01T00:00","2016-09-16T00:00","1.0","1.0"
"LinearCombinationMatchingRule","Video_games_sales14125","PS4_id_8119","0.35",,"Summon Night 6: Lost Borders","Virginia","Summon Night 6: Lost Borders","Virginia","0.0714285714285714","0.0714285714285714","2016-01-01T00:00","2016-09-22T00:00","2016-01-01T00:00","2016-09-22T00:00","1.0","1.0"
"LinearCombinationMatchingRule","Video_games_sales4784","PS4_id_7681","0.046666666666666655",,"Dishonored","Chariot (HK/TW)","Dishonored","Chariot (HK/TW)","0.06666666666666665","0.06666666666666665","2015-01-01T00:00","2016-06-06T00:00","2015-01-01T00:00","2016-06-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales4784","PS4_id_7680","0.11666666666666663",,"Dishonored","Chariot (EU)","Dishonored","Chariot (EU)","0.16666666666666663","0.16666666666666663","2015-01-01T00:00","2014-10-29T00:00","2015-01-01T00:00","2014-10-29T00:00","0.0","0.0"
"LinearCombinationMatchingRule","Video_games_sales6828","PS4_id_5847","0.39545454545454545",,"Skylanders Imaginators","Fenix Furia (EU)","Skylanders Imaginators","Fenix Furia (EU)","0.13636363636363635","0.13636363636363635","2016-01-01T00:00","2016-06-07T00:00","2016-01-01T00:00","2016-06-07T00:00","1.0","1.0"
